2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Usual Resident Population,Score,State,Rank
10001,Aarons Pass,33,934,NSW,1011
10002,Abbotsbury,4200,1028,NSW,2978
10003,Abbotsford (NSW),5431,1121,NSW,4087
10004,Abercrombie,1127,1006,NSW,2455
10005,Abercrombie River,21,1001,NSW,2297
10006,Aberdare,2542,831,NSW,68
10007,Aberdeen (NSW),2051,848,NSW,108
10008,Aberfoyle,121,1042,NSW,3254
10009,Aberglasslyn,6552,932,NSW,989
10010,Abermain,2544,842,NSW,91
10011,Abernethy,317,871,NSW,221
10012,Abington (NSW),29,1077,NSW,3773
10013,Acacia Creek,30,967,NSW,1585
10014,Acacia Gardens,3668,1054,NSW,3475
10015,Adaminaby,339,931,NSW,977
10016,Adamstown,6335,1042,NSW,3253
10017,Adamstown Heights,5621,1073,NSW,3744
10018,Adelong,938,890,NSW,361
10019,Adjungbilly,101,1066,NSW,3632
10020,Afterlee,32,976,NSW,1753
10021,Agnes Banks,996,981,NSW,1876
10022,Airds,3265,829,NSW,62
10023,Akolele,165,921,NSW,786
10024,Albert,77,1130,NSW,4124
10025,Albion Park,13826,930,NSW,942
10026,Albion Park Rail,6920,872,NSW,227
10027,Albury,4955,1049,NSW,3379
10028,Aldavilla,1443,890,NSW,360
10029,Alectown,151,1029,NSW,2998
10030,Alexandria,9649,1181,NSW,4258
10031,Alfords Point,3131,1066,NSW,3635
10032,Alfredtown,80,994,NSW,2156
10033,Alice,4,947,NSW,1226
10034,Alison (Central Coast - NSW),85,1023,NSW,2862
10035,Alison (Dungog - NSW),99,1049,NSW,3364
10036,Allambie Heights,7317,1102,NSW,3983
10037,Allandale (NSW),68,947,NSW,1242
10038,Allawah,5351,1046,NSW,3321
10039,Alleena,60,1032,NSW,3065
10040,Allgomera,139,937,NSW,1060
10041,Allworth,190,799,NSW,13
10042,Allynbrook,54,1010,NSW,2539
10043,Alma Park,58,1019,NSW,2799
10044,Alpine,141,1021,NSW,2830
10045,Alstonvale,431,1079,NSW,3786
10046,Alstonville,5912,980,NSW,1870
10047,Alumy Creek,86,984,NSW,1943
10048,Amaroo (NSW),44,1018,NSW,2771
10049,Ambarvale,7254,879,NSW,277
10050,Amosfield,40,1001,NSW,2315
10051,Anabranch North,6,1016,NSW,2723
10052,Anabranch South,41,1016,NSW,2721
10053,Anambah,64,1004,NSW,2400
10054,Ando,49,938,NSW,1074
