,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000"
2,2,2.5,2.0,1.0,1900.0,1.035
4,3,2.5,3.0,2.0,1900.0,1.465
6,4,2.5,3.0,1.0,2014.0,1.6
11,3,2.5,4.0,2.0,1910.0,1.876
14,2,2.5,2.0,1.0,1890.0,1.636
18,2,2.5,3.0,1.0,1900.0,1.097
24,3,2.5,3.0,2.0,2005.0,1.35
25,2,2.5,2.0,2.0,2009.0,0.75
30,2,2.5,2.0,1.0,1890.0,1.31
32,3,2.5,3.0,2.0,1880.0,1.2
35,3,2.5,2.0,1.0,1890.0,1.1765
37,2,2.5,2.0,1.0,1985.0,0.89
38,4,2.5,4.0,2.0,1900.0,1.33
40,3,2.5,3.0,2.0,2010.0,0.9
42,2,2.5,2.0,1.0,1970.0,0.5
43,2,2.5,2.0,2.0,2013.0,1.1
44,2,2.5,2.0,1.0,1900.0,1.315
49,3,2.5,3.0,3.0,2012.0,1.4475
51,2,2.5,2.0,2.0,1920.0,1.135
56,3,2.5,3.0,1.0,1950.0,1.29
57,1,2.5,1.0,1.0,2013.0,0.47
58,2,2.5,2.0,1.0,1900.0,1.18
59,3,2.5,3.0,2.0,1998.0,1.195
61,2,2.5,2.0,1.0,1900.0,1.0125
63,2,2.5,2.0,1.0,1930.0,1.03
66,3,13.5,3.0,2.0,2016.0,0.84
67,3,13.5,3.0,2.0,1965.0,0.73
68,3,13.5,3.0,2.0,1965.0,0.77
70,2,13.5,2.0,1.0,1950.0,0.603
71,3,13.5,3.0,2.0,2009.0,0.7
72,3,13.5,2.0,1.0,1980.0,0.6
73,2,13.5,2.0,1.0,2011.0,0.5
81,6,13.5,6.0,3.0,1980.0,0.725
82,2,13.5,2.0,1.0,2015.0,0.45
83,2,13.5,2.0,1.0,2013.0,0.515
85,2,13.5,2.0,1.0,2012.0,0.53
86,3,13.5,3.0,1.0,1975.0,0.895
88,3,13.5,3.0,1.0,1950.0,0.805
90,3,13.5,3.0,1.0,1993.0,0.752
98,3,13.5,3.0,2.0,2009.0,0.7
100,3,13.5,3.0,1.0,1960.0,0.83
101,2,13.5,2.0,1.0,2003.0,0.4625
103,2,13.5,2.0,1.0,1975.0,0.675
104,3,13.5,3.0,2.0,1950.0,1.042
106,4,13.5,5.0,3.0,1980.0,0.773
108,3,13.5,3.0,3.0,1980.0,0.81
109,3,13.5,3.0,2.0,1995.0,0.715
112,3,13.5,2.0,2.0,2010.0,0.54
113,3,13.5,3.0,2.0,1960.0,0.825
114,3,13.5,3.0,1.0,1975.0,0.685
129,4,13.5,4.0,2.0,1975.0,0.9
133,2,3.3,2.0,1.0,1900.0,1.275
136,3,3.3,3.0,2.0,1890.0,1.85
138,2,3.3,2.0,1.0,1900.0,1.436
140,2,3.3,1.0,1.0,1900.0,1.11
142,4,3.3,4.0,2.0,1880.0,2.3
145,3,3.3,3.0,2.0,1996.0,1.8
147,2,3.3,2.0,1.0,1900.0,2.12
149,3,3.3,3.0,2.0,1900.0,1.8
155,3,3.3,3.0,2.0,2000.0,1.37
159,2,3.3,2.0,1.0,1890.0,1.3225
161,2,3.3,2.0,1.0,1890.0,1.5625
162,3,3.3,3.0,2.0,1900.0,2.0
165,3,3.3,3.0,1.0,1900.0,1.9
172,3,3.3,2.0,1.0,1900.0,2.1
176,3,3.3,3.0,1.0,1890.0,2.0
177,1,3.3,1.0,1.0,1970.0,0.4425
183,4,3.3,3.0,2.0,1880.0,2.14
186,2,3.3,2.0,1.0,1890.0,0.98
191,3,3.3,3.0,2.0,1890.0,1.74
193,1,3.3,1.0,1.0,1900.0,0.985
195,4,6.4,3.0,2.0,1930.0,2.0
196,3,6.4,3.0,2.0,2013.0,1.11
201,4,6.4,4.0,2.0,1925.0,1.7175
204,2,6.4,2.0,1.0,1960.0,0.5255
205,2,6.4,2.0,2.0,2004.0,0.805
214,4,6.4,4.0,2.0,1970.0,1.83
215,4,6.4,4.0,2.0,2008.0,2.1
216,3,6.4,3.0,1.0,2010.0,0.865
217,2,6.4,2.0,1.0,1960.0,0.39
219,2,6.4,2.0,1.0,1965.0,0.512
226,4,6.4,4.0,2.0,1930.0,1.9
229,4,6.4,4.0,2.0,1920.0,1.95
230,3,13.8,3.0,2.0,2015.0,0.52
231,5,13.8,5.0,3.0,2005.0,1.525
232,2,13.8,2.0,1.0,2013.0,0.72
233,3,13.8,3.0,1.0,1930.0,1.12
235,4,13.8,4.0,3.0,1962.0,1.78
236,3,13.8,2.0,1.0,1955.0,0.63
238,3,13.8,3.0,1.0,1955.0,0.66
241,2,13.8,2.0,1.0,1988.0,0.58
242,3,13.8,3.0,1.0,1953.0,1.335
243,3,13.8,3.0,2.0,1997.0,0.8
244,2,13.8,2.0,1.0,1990.0,0.51
246,2,13.8,2.0,1.0,1980.0,0.425
249,2,13.8,2.0,1.0,1965.0,0.391
251,4,13.8,4.0,1.0,1950.0,0.845
255,3,13.8,3.0,2.0,2014.0,0.73
257,3,13.8,3.0,1.0,1960.0,0.635
259,2,13.8,2.0,1.0,1990.0,0.447
261,3,13.8,3.0,1.0,1950.0,0.678
262,2,13.8,2.0,2.0,2013.0,0.58
264,3,13.8,3.0,2.0,1965.0,0.84
269,3,13.8,3.0,2.0,2007.0,0.577
276,2,13.8,2.0,2.0,1950.0,0.857
278,3,13.8,3.0,2.0,2014.0,0.73
281,4,13.8,4.0,2.0,1970.0,0.931
282,2,13.8,2.0,1.0,1996.0,0.5356
284,5,11.1,5.0,3.0,1965.0,1.085
285,3,11.1,3.0,1.0,1970.0,0.781
289,2,11.1,2.0,1.0,2009.0,0.421
292,3,11.1,3.0,1.0,1967.0,0.683
295,3,11.1,3.0,2.0,2012.0,0.72
299,3,11.1,3.0,1.0,1970.0,0.588
301,3,11.1,3.0,1.0,1960.0,0.71
306,4,11.1,3.0,1.0,1965.0,0.875
313,2,11.1,2.0,1.0,1965.0,0.64
321,3,11.1,3.0,2.0,2012.0,0.675
322,3,11.1,3.0,1.0,1960.0,0.708
