,Suburb,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000",Population,Education Score,State,State Rank
0,Abbotsford,2,2.5,2.0,1.0,1900.0,1.035,9088,1163,VIC,2804
1,Abbotsford,3,2.5,3.0,2.0,1900.0,1.465,9088,1163,VIC,2804
2,Abbotsford,4,2.5,3.0,1.0,2014.0,1.6,9088,1163,VIC,2804
3,Abbotsford,3,2.5,4.0,2.0,1910.0,1.876,9088,1163,VIC,2804
4,Abbotsford,2,2.5,2.0,1.0,1890.0,1.636,9088,1163,VIC,2804
5,Abbotsford,2,2.5,3.0,1.0,1900.0,1.097,9088,1163,VIC,2804
6,Abbotsford,3,2.5,3.0,2.0,2005.0,1.35,9088,1163,VIC,2804
7,Abbotsford,2,2.5,2.0,2.0,2009.0,0.75,9088,1163,VIC,2804
8,Abbotsford,2,2.5,2.0,1.0,1890.0,1.31,9088,1163,VIC,2804
9,Abbotsford,3,2.5,3.0,2.0,1880.0,1.2,9088,1163,VIC,2804
10,Abbotsford,3,2.5,2.0,1.0,1890.0,1.1765,9088,1163,VIC,2804
11,Abbotsford,2,2.5,2.0,1.0,1985.0,0.89,9088,1163,VIC,2804
12,Abbotsford,4,2.5,4.0,2.0,1900.0,1.33,9088,1163,VIC,2804
13,Abbotsford,3,2.5,3.0,2.0,2010.0,0.9,9088,1163,VIC,2804
14,Abbotsford,2,2.5,2.0,1.0,1970.0,0.5,9088,1163,VIC,2804
15,Abbotsford,2,2.5,2.0,2.0,2013.0,1.1,9088,1163,VIC,2804
16,Abbotsford,2,2.5,2.0,1.0,1900.0,1.315,9088,1163,VIC,2804
17,Abbotsford,3,2.5,3.0,3.0,2012.0,1.4475,9088,1163,VIC,2804
18,Abbotsford,2,2.5,2.0,2.0,1920.0,1.135,9088,1163,VIC,2804
19,Abbotsford,3,2.5,3.0,1.0,1950.0,1.29,9088,1163,VIC,2804
20,Abbotsford,1,2.5,1.0,1.0,2013.0,0.47,9088,1163,VIC,2804
21,Abbotsford,2,2.5,2.0,1.0,1900.0,1.18,9088,1163,VIC,2804
22,Abbotsford,3,2.5,3.0,2.0,1998.0,1.195,9088,1163,VIC,2804
23,Abbotsford,2,2.5,2.0,1.0,1900.0,1.0125,9088,1163,VIC,2804
24,Abbotsford,2,2.5,2.0,1.0,1930.0,1.03,9088,1163,VIC,2804
25,Airport West,3,13.5,3.0,2.0,2016.0,0.84,8173,1014,VIC,1659
26,Airport West,3,13.5,3.0,2.0,1965.0,0.73,8173,1014,VIC,1659
27,Airport West,3,13.5,3.0,2.0,1965.0,0.77,8173,1014,VIC,1659
28,Airport West,2,13.5,2.0,1.0,1950.0,0.603,8173,1014,VIC,1659
29,Airport West,3,13.5,3.0,2.0,2009.0,0.7,8173,1014,VIC,1659
30,Airport West,3,13.5,2.0,1.0,1980.0,0.6,8173,1014,VIC,1659
31,Airport West,2,13.5,2.0,1.0,2011.0,0.5,8173,1014,VIC,1659
32,Airport West,6,13.5,6.0,3.0,1980.0,0.725,8173,1014,VIC,1659
33,Airport West,2,13.5,2.0,1.0,2015.0,0.45,8173,1014,VIC,1659
34,Airport West,2,13.5,2.0,1.0,2013.0,0.515,8173,1014,VIC,1659
35,Airport West,2,13.5,2.0,1.0,2012.0,0.53,8173,1014,VIC,1659
36,Airport West,3,13.5,3.0,1.0,1975.0,0.895,8173,1014,VIC,1659
37,Airport West,3,13.5,3.0,1.0,1950.0,0.805,8173,1014,VIC,1659
38,Airport West,3,13.5,3.0,1.0,1993.0,0.752,8173,1014,VIC,1659
39,Airport West,3,13.5,3.0,2.0,2009.0,0.7,8173,1014,VIC,1659
40,Airport West,3,13.5,3.0,1.0,1960.0,0.83,8173,1014,VIC,1659
41,Airport West,2,13.5,2.0,1.0,2003.0,0.4625,8173,1014,VIC,1659
42,Airport West,2,13.5,2.0,1.0,1975.0,0.675,8173,1014,VIC,1659
43,Airport West,3,13.5,3.0,2.0,1950.0,1.042,8173,1014,VIC,1659
44,Airport West,4,13.5,5.0,3.0,1980.0,0.773,8173,1014,VIC,1659
45,Airport West,3,13.5,3.0,3.0,1980.0,0.81,8173,1014,VIC,1659
46,Airport West,3,13.5,3.0,2.0,1995.0,0.715,8173,1014,VIC,1659
47,Airport West,3,13.5,2.0,2.0,2010.0,0.54,8173,1014,VIC,1659
48,Airport West,3,13.5,3.0,2.0,1960.0,0.825,8173,1014,VIC,1659
49,Airport West,3,13.5,3.0,1.0,1975.0,0.685,8173,1014,VIC,1659
50,Airport West,4,13.5,4.0,2.0,1975.0,0.9,8173,1014,VIC,1659
51,Albert Park,2,3.3,2.0,1.0,1900.0,1.275,6044,1153,VIC,2788
52,Albert Park,3,3.3,3.0,2.0,1890.0,1.85,6044,1153,VIC,2788
53,Albert Park,2,3.3,2.0,1.0,1900.0,1.436,6044,1153,VIC,2788
54,Albert Park,2,3.3,1.0,1.0,1900.0,1.11,6044,1153,VIC,2788
55,Albert Park,4,3.3,4.0,2.0,1880.0,2.3,6044,1153,VIC,2788
56,Albert Park,3,3.3,3.0,2.0,1996.0,1.8,6044,1153,VIC,2788
57,Albert Park,2,3.3,2.0,1.0,1900.0,2.12,6044,1153,VIC,2788
58,Albert Park,3,3.3,3.0,2.0,1900.0,1.8,6044,1153,VIC,2788
59,Albert Park,3,3.3,3.0,2.0,2000.0,1.37,6044,1153,VIC,2788
60,Albert Park,2,3.3,2.0,1.0,1890.0,1.3225,6044,1153,VIC,2788
61,Albert Park,2,3.3,2.0,1.0,1890.0,1.5625,6044,1153,VIC,2788
62,Albert Park,3,3.3,3.0,2.0,1900.0,2.0,6044,1153,VIC,2788
63,Albert Park,3,3.3,3.0,1.0,1900.0,1.9,6044,1153,VIC,2788
64,Albert Park,3,3.3,2.0,1.0,1900.0,2.1,6044,1153,VIC,2788
65,Albert Park,3,3.3,3.0,1.0,1890.0,2.0,6044,1153,VIC,2788
66,Albert Park,1,3.3,1.0,1.0,1970.0,0.4425,6044,1153,VIC,2788
67,Albert Park,4,3.3,3.0,2.0,1880.0,2.14,6044,1153,VIC,2788
