,Suburb,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000",Population,Education Score,State,State Rank
0,Abbotsford,2,2.5,2.0,1.0,1900.0,1.035,9088,1163,VIC,2804
1,Abbotsford,3,2.5,3.0,2.0,1900.0,1.465,9088,1163,VIC,2804
2,Abbotsford,4,2.5,3.0,1.0,2014.0,1.6,9088,1163,VIC,2804
3,Abbotsford,3,2.5,4.0,2.0,1910.0,1.876,9088,1163,VIC,2804
4,Abbotsford,2,2.5,2.0,1.0,1890.0,1.636,9088,1163,VIC,2804
5,Abbotsford,2,2.5,3.0,1.0,1900.0,1.097,9088,1163,VIC,2804
6,Abbotsford,3,2.5,3.0,2.0,2005.0,1.35,9088,1163,VIC,2804
7,Abbotsford,2,2.5,2.0,2.0,2009.0,0.75,9088,1163,VIC,2804
8,Abbotsford,2,2.5,2.0,1.0,1890.0,1.31,9088,1163,VIC,2804
9,Abbotsford,3,2.5,3.0,2.0,1880.0,1.2,9088,1163,VIC,2804
10,Abbotsford,3,2.5,2.0,1.0,1890.0,1.1765,9088,1163,VIC,2804
11,Abbotsford,2,2.5,2.0,1.0,1985.0,0.89,9088,1163,VIC,2804
12,Abbotsford,4,2.5,4.0,2.0,1900.0,1.33,9088,1163,VIC,2804
13,Abbotsford,3,2.5,3.0,2.0,2010.0,0.9,9088,1163,VIC,2804
14,Abbotsford,2,2.5,2.0,1.0,1970.0,0.5,9088,1163,VIC,2804
15,Abbotsford,2,2.5,2.0,2.0,2013.0,1.1,9088,1163,VIC,2804
16,Abbotsford,2,2.5,2.0,1.0,1900.0,1.315,9088,1163,VIC,2804
17,Abbotsford,3,2.5,3.0,3.0,2012.0,1.4475,9088,1163,VIC,2804
18,Abbotsford,2,2.5,2.0,2.0,1920.0,1.135,9088,1163,VIC,2804
19,Abbotsford,3,2.5,3.0,1.0,1950.0,1.29,9088,1163,VIC,2804
20,Abbotsford,1,2.5,1.0,1.0,2013.0,0.47,9088,1163,VIC,2804
21,Abbotsford,2,2.5,2.0,1.0,1900.0,1.18,9088,1163,VIC,2804
22,Abbotsford,3,2.5,3.0,2.0,1998.0,1.195,9088,1163,VIC,2804
23,Abbotsford,2,2.5,2.0,1.0,1900.0,1.0125,9088,1163,VIC,2804
24,Abbotsford,2,2.5,2.0,1.0,1930.0,1.03,9088,1163,VIC,2804
25,Abbotsford,3,2.5,3.0,1.0,1900.0,1.0,9088,1163,VIC,2804
26,Abbotsford,2,2.5,2.0,2.0,2013.0,0.87,9088,1163,VIC,2804
27,Abbotsford,2,2.5,2.0,1.0,1890.0,1.05,9088,1163,VIC,2804
28,Abbotsford,2,2.5,2.0,1.0,1940.0,1.242,9088,1163,VIC,2804
29,Abbotsford,3,2.5,3.0,2.0,1888.0,1.165,9088,1163,VIC,2804
30,Abbotsford,2,3.0,2.0,1.0,1970.0,0.48,9088,1163,VIC,2804
31,Abbotsford,2,3.0,2.0,1.0,2013.0,0.75,9088,1163,VIC,2804
32,Abbotsford,3,3.0,3.0,2.0,2004.0,0.855,9088,1163,VIC,2804
33,Abbotsford,2,3.0,2.0,1.0,1970.0,0.505,9088,1163,VIC,2804
34,Abbotsford,3,3.0,3.0,1.0,1960.0,1.4025,9088,1163,VIC,2804
35,Abbotsford,3,3.0,3.0,1.0,1880.0,1.635,9088,1163,VIC,2804
36,Abbotsford,2,3.0,2.0,2.0,2000.0,1.19,9088,1163,VIC,2804
37,Abbotsford,3,3.0,3.0,1.0,1900.0,1.0,9088,1163,VIC,2804
38,Abbotsford,3,3.0,3.0,2.0,2000.0,1.001,9088,1163,VIC,2804
39,Abbotsford,1,3.0,1.0,1.0,2013.0,0.415,9088,1163,VIC,2804
40,Abbotsford,2,3.0,2.0,2.0,2013.0,0.683,9088,1163,VIC,2804
41,Abbotsford,3,3.0,3.0,1.0,1890.0,1.2,9088,1163,VIC,2804
42,Abbotsford,3,3.0,3.0,1.0,1900.0,1.37,9088,1163,VIC,2804
43,Abbotsford,3,3.0,3.0,1.0,1890.0,1.24,9088,1163,VIC,2804
44,Abbotsford,2,3.0,2.0,1.0,1927.0,1.075,9088,1163,VIC,2804
45,Abbotsford,2,3.0,2.0,1.0,1890.0,1.2,9088,1163,VIC,2804
46,Abbotsford,2,3.0,2.0,1.0,1900.0,1.3,9088,1163,VIC,2804
47,Abbotsford,2,3.0,2.0,1.0,1890.0,0.97,9088,1163,VIC,2804
48,Abbotsford,3,3.0,3.0,2.0,2004.0,0.955,9088,1163,VIC,2804
49,Abbotsford,3,3.0,3.0,1.0,1970.0,1.2,9088,1163,VIC,2804
50,Abbotsford,3,3.0,3.0,1.0,1900.0,1.366,9088,1163,VIC,2804
51,Airport West,3,13.5,3.0,2.0,2016.0,0.84,8173,1014,VIC,1659
52,Airport West,3,13.5,3.0,2.0,1965.0,0.73,8173,1014,VIC,1659
53,Airport West,3,13.5,3.0,2.0,1965.0,0.77,8173,1014,VIC,1659
54,Airport West,2,13.5,2.0,1.0,1950.0,0.603,8173,1014,VIC,1659
55,Airport West,3,13.5,3.0,2.0,2009.0,0.7,8173,1014,VIC,1659
56,Airport West,3,13.5,2.0,1.0,1980.0,0.6,8173,1014,VIC,1659
57,Airport West,2,13.5,2.0,1.0,2011.0,0.5,8173,1014,VIC,1659
58,Airport West,6,13.5,6.0,3.0,1980.0,0.725,8173,1014,VIC,1659
59,Airport West,2,13.5,2.0,1.0,2015.0,0.45,8173,1014,VIC,1659
60,Airport West,2,13.5,2.0,1.0,2013.0,0.515,8173,1014,VIC,1659
61,Airport West,2,13.5,2.0,1.0,2012.0,0.53,8173,1014,VIC,1659
62,Airport West,3,13.5,3.0,1.0,1975.0,0.895,8173,1014,VIC,1659
63,Airport West,3,13.5,3.0,1.0,1950.0,0.805,8173,1014,VIC,1659
64,Airport West,3,13.5,3.0,1.0,1993.0,0.752,8173,1014,VIC,1659
65,Airport West,3,13.5,3.0,2.0,2009.0,0.7,8173,1014,VIC,1659
66,Airport West,3,13.5,3.0,1.0,1960.0,0.83,8173,1014,VIC,1659
67,Airport West,2,13.5,2.0,1.0,2003.0,0.4625,8173,1014,VIC,1659
